id,start_lon,start_lat,end_lon,end_lat
0,8.83910179,49.5704409,8.85413289,49.614509
1,8.57730746,49.3848382,7.950508,49.031503
2,8.676155,49.404221,8.84972,49.943173
3,8.57809066,49.3818698,8.122021,49.376045
4,8.449108,49.5930367,8.661174,49.4136086
5,9.1400671,48.8917249,9.30156826,49.0758337
6,8.49199268,49.0065966,8.23706028,48.1396452
7,8.68613,49.97961,8.676817,49.404427
8,9.01986122,49.8877224,8.89950996,49.4490302
9,8.79693746,49.3948735,9.21389,49.14033
